date,close,open,high,low,vol,var
20.04.2021,"319875,4",317990,319900,309771,"0,20K","0,59%"
19.04.2021,317990,324000,334859,317990,"0,31K","-1,85%"
18.04.2021,324000,"347499,5","347499,5",322400,"0,42K","-6,76%"
17.04.2021,"347499,5","347997,8","352397,9","347499,5","0,05K","0,00%"
16.04.2021,"347499,5",362001,362001,"347499,5","0,21K","-4,01%"
15.04.2021,362001,362500,363995,358000,"0,13K","-0,14%"
14.04.2021,362500,368001,373800,359000,"0,27K","-1,69%"
13.04.2021,368750,342770,368750,342770,"0,29K","7,58%"
12.04.2021,342770,"339896,9",342770,"339896,9","0,10K","0,85%"
11.04.2021,"339896,9","337498,9",340000,"337498,9","0,08K","0,71%"
10.04.2021,"337498,9","331500,1",340000,"331500,1","0,15K","1,81%"
09.04.2021,"331500,1",326500,332001,326500,"0,06K","1,69%"
08.04.2021,325990,"319262,9",325990,"319262,9","0,07K","2,11%"
07.04.2021,"319262,9",328000,328000,318272,"0,15K","-2,66%"
06.04.2021,328000,"336700,1","336700,1",328000,"0,12K","-2,20%"
05.04.2021,"335375,5","335831,6","336700,1","329348,8","0,09K","-0,14%"
04.04.2021,"335831,6",330567,336183,330567,"0,07K","1,59%"
03.04.2021,330567,337500,"338199,9",330567,"0,07K","-2,05%"
02.04.2021,337500,337002,337990,336000,"0,08K","0,15%"
01.04.2021,337002,332825,337002,332825,"0,07K","1,26%"
31.03.2021,332825,"337798,9","337998,9",332825,"0,11K","-1,34%"
30.03.2021,"337350,1","329521,4",338005,328800,"0,15K","2,38%"
29.03.2021,"329521,4",318500,330500,315504,"0,22K","3,46%"
28.03.2021,318500,318201,"319999,9","314897,6","0,04K","0,09%"
27.03.2021,318201,316500,320000,"314304,9","0,13K","0,54%"
26.03.2021,316500,"294142,9",316500,"294142,9","0,14K","7,60%"
25.03.2021,"294142,9","303204,6","306573,8",294000,"0,23K","-2,99%"
24.03.2021,"303204,6","306775,5",316000,"303204,6","0,18K","-1,16%"
23.03.2021,"306775,5",305001,"306775,5","304365,4","0,18K","0,58%"
22.03.2021,305001,321000,"321990,3",305001,"0,24K","-4,98%"
21.03.2021,321000,325810,325810,321000,"0,09K","-1,48%"
20.03.2021,325810,325619,327950,325619,"0,06K","0,06%"
19.03.2021,325619,324810,326826,"322249,8","0,12K","0,25%"
18.03.2021,324810,328980,328980,324810,"0,17K","-1,27%"
17.03.2021,328980,320600,328980,"313307,1","0,17K","2,61%"
16.03.2021,320600,"320240,8",320600,"311835,4","0,24K","0,11%"
15.03.2021,"320240,8",336000,340000,"320240,8","0,27K","-4,69%"
14.03.2021,336000,339998,339998,335500,"0,09K","-1,18%"
13.03.2021,339998,"319988,6",339998,"318899,8","0,25K","6,32%"
12.03.2021,319799,320600,320600,"315759,8","0,23K","-0,25%"
11.03.2021,320600,"318117,8",320600,"316003,1","0,18K","0,78%"
10.03.2021,"318117,8",314898,319850,314898,"0,34K","1,02%"
09.03.2021,314898,297460,314898,297297,"0,35K","5,86%"
08.03.2021,297460,"288082,3",297460,"284012,3","0,29K","3,26%"
07.03.2021,"288082,3","279349,9","288082,3","279349,9","0,12K","3,40%"
06.03.2021,"278600,7",279551,279551,"274587,6","0,08K","-0,34%"
05.03.2021,"279551,1",279500,281250,271550,"0,16K","0,02%"
04.03.2021,279500,286600,286600,"274998,1","0,21K","-2,48%"
03.03.2021,286600,277200,"292879,7",277200,"0,31K","3,39%"
02.03.2021,277200,282000,282000,"274365,8","0,16K","-1,70%"
01.03.2021,282000,257000,282000,257000,"0,25K","9,73%"
28.02.2021,257000,"264137,6","264137,6","255500,1","0,24K","-2,70%"
27.02.2021,"264137,6",264650,"267999,8","264137,6","0,08K","-0,19%"
26.02.2021,264650,270001,270001,"263272,9","0,28K","-1,98%"
25.02.2021,270001,274888,283000,270001,"0,17K","-1,78%"
24.02.2021,274888,"272999,4",284500,"272100,5","0,29K","0,69%"
23.02.2021,"272999,4",302500,302500,266550,"0,78K","-9,75%"
22.02.2021,302500,"318888,8","318888,8",302500,"0,57K","-5,14%"
21.02.2021,"318888,8",313300,318998,313300,"0,11K","1,78%"
20.02.2021,313300,304500,319500,304500,"0,35K","2,89%"
19.02.2021,304500,"285998,9",304500,"285405,2","0,29K","6,47%"
18.02.2021,"285998,9",288100,"288512,7","285998,9","0,21K","-0,73%"
17.02.2021,288100,272000,288100,272000,"0,30K","6,09%"
16.02.2021,271560,265000,271560,265000,"0,17K","2,48%"
15.02.2021,265000,266600,266600,"263201,5","0,16K","-0,75%"
14.02.2021,"266999,5",258200,267670,258200,"0,18K","3,41%"
13.02.2021,258200,"258064,5",259500,257650,"0,09K","0,05%"
12.02.2021,"258064,5","258000,8",259000,257185,"0,23K","0,02%"
